GEOID,NAME,pop,income,rent,home_value,vacancy_rate,ami_60,below_60_ami,PovertyRate,LILATracts_1And10,lapop1share,LATracts_half,TractHUNV,TractSNAP,snap_pct,hunv_pct
29095011405,"Census Tract 114.05, Jackson County, Missouri",3940,31772,699,102100,0.1043,49620,1,33.7,0,NULL,1,130,437,0.1109,0.033
29095011500,"Census Tract 115, Jackson County, Missouri",5884,37068,852,79600,0.1221,49620,1,26.2,0,0.93,1,451,711,0.1208,0.0766
29095014400,"Census Tract 144, Jackson County, Missouri",2560,65260,983,271400,0.083,49620,0,8.1,0,97.98,0,53,53,0.0207,0.0207
29095014502,"Census Tract 145.02, Jackson County, Missouri",4268,58691,1015,167900,0.1072,49620,0,6.1,0,36.62,1,36,168,0.0394,0.0084
29095019300,"Census Tract 193, Jackson County, Missouri",6355,84491,1138,165800,0.0521,49620,0,7.1,0,98.75,1,25,72,0.0113,0.0039
29095013307,"Census Tract 133.07, Jackson County, Missouri",2738,51279,745,114300,0.1175,49620,0,16.8,1,21.70,1,25,87,0.0318,0.0091
29095014702,"Census Tract 147.02, Jackson County, Missouri",4939,70931,1287,159400,0.0133,49620,0,4.4,0,69.79,1,66,46,0.0093,0.0134
29095009500,"Census Tract 95, Jackson County, Missouri",3242,38910,941,57300,0.2559,49620,1,22.8,0,11.50,1,256,369,0.1138,0.079
29095010105,"Census Tract 101.05, Jackson County, Missouri",3738,57378,967,257100,0.0399,49620,0,7.2,0,22.99,1,105,61,0.0163,0.0281
29095015900,"Census Tract 159, Jackson County, Missouri",2305,51295,878,158900,0.1136,49620,0,29.6,0,NULL,0,113,38,0.0165,0.049
29095011100,"Census Tract 111, Jackson County, Missouri",3048,39535,848,77700,0.0959,49620,1,17.7,1,22.97,1,56,123,0.0404,0.0184
29095009800,"Census Tract 98, Jackson County, Missouri",2926,49824,1001,135300,0.1072,49620,0,14.2,0,4.33,1,74,85,0.029,0.0253
29095006100,"Census Tract 61, Jackson County, Missouri",2890,41226,1071,35800,0.2368,49620,1,27.1,0,0.17,1,214,247,0.0855,0.074
29095014114,"Census Tract 141.14, Jackson County, Missouri",7184,74556,830,195700,0.0394,49620,0,4.6,0,20.32,1,100,221,0.0308,0.0139
29095013210,"Census Tract 132.10, Jackson County, Missouri",2817,36111,899,71500,0.0781,49620,1,24.5,1,44.19,1,157,272,0.0966,0.0557
29095017500,"Census Tract 175, Jackson County, Missouri",2200,50125,648,102000,0.1151,49620,0,27.3,0,58.65,0,111,188,0.0855,0.0505
29095014806,"Census Tract 148.06, Jackson County, Missouri",4242,93438,1285,203300,0.061,49620,0,1.6,0,100.00,1,9,35,0.0083,0.0021
29095013416,"Census Tract 134.16, Jackson County, Missouri",2378,75750,1169,134200,0.008,49620,0,1.3,0,33.63,1,13,86,0.0362,0.0055
29095007700,"Census Tract 77, Jackson County, Missouri",1247,24805,736,40500,0.2647,49620,1,30.2,0,11.73,1,188,203,0.1628,0.1508
29095017200,"Census Tract 172, Jackson County, Missouri",4604,46133,885,97600,0.1397,49620,1,19.2,1,46.90,1,102,274,0.0595,0.0222
29095008100,"Census Tract 81, Jackson County, Missouri",2209,45549,1052,64500,0.1846,49620,1,13.2,0,NULL,1,63,93,0.0421,0.0285
29095014903,"Census Tract 149.03, Jackson County, Missouri",5308,91510,584,258000,0.0264,49620,0,6,0,98.63,0,15,80,0.0151,0.0028
29095015600,"Census Tract 156, Jackson County, Missouri",2371,31226,684,51800,0.1524,49620,1,38.4,1,95.60,1,116,205,0.0865,0.0489
29095009700,"Census Tract 97, Jackson County, Missouri",1897,28986,859,120800,0.0784,49620,1,29.4,0,7.00,1,139,154,0.0812,0.0733
